timestamp_s,y_position_mm,extrusion_steps_s
367911.183213,0.010,0.0
367911.184183,0.010,0.0
367911.185213,0.010,0.0
367911.186248,0.010,0.0
367911.187212,0.010,0.0
367911.188183,0.010,0.0
367911.189213,0.010,0.0
367911.190223,0.010,0.0
367911.191218,0.010,0.0
367911.192184,0.010,0.0
367911.193216,0.010,0.0
367911.194223,0.010,0.0
367911.195214,0.010,0.0
367911.196182,0.010,0.0
367911.197213,0.010,0.0
367911.198223,0.010,0.0
367911.199214,0.010,0.0
367911.200181,0.010,0.0
367911.201214,0.010,0.0
367911.202246,0.010,0.0
367911.203212,0.010,0.0
367911.204181,0.010,0.0
367911.205214,0.010,0.0
367911.206223,0.010,0.0
367911.207158,0.010,0.0
367911.208168,0.010,0.0
367911.209168,0.010,0.0
367911.210217,0.010,0.0
367911.211208,0.010,0.0
367911.212181,0.010,0.0
367911.213213,0.010,0.0
367911.214223,0.010,0.0
367911.215213,0.010,0.0
367911.216181,0.010,0.0
367911.217213,0.010,0.0
367911.218223,0.010,0.0
367911.219213,0.010,0.0
367911.220182,0.010,0.0
367911.221213,0.010,0.0
367911.222223,0.010,0.0
367911.223213,0.010,0.0
367911.224181,0.010,0.0
367911.225213,0.010,0.0
367911.226224,0.010,0.0
367911.227213,0.010,0.0
367911.228180,0.010,0.0
367911.229214,0.010,0.0
367911.230224,0.010,0.0
367911.231213,0.010,0.0
367911.232190,0.010,0.0
367911.233213,0.010,0.0
367911.234217,0.010,0.0
367911.235212,0.010,0.0
367911.236168,0.010,0.0
367911.237213,0.010,0.0
367911.238165,0.010,0.0
367911.239213,0.010,0.0
367911.240171,0.010,0.0
367911.241219,0.010,0.0
367911.242213,0.010,0.0
367911.243214,0.010,0.0
367911.244162,0.010,0.0
367911.245212,0.010,0.0
367911.246213,0.010,0.0
367911.247165,0.010,0.0
367911.248168,0.010,0.0
367911.249212,0.010,0.0
367911.250165,0.010,0.0
367911.251212,0.010,0.0
367911.252163,0.010,0.0
367911.253213,0.010,0.0
367911.254213,0.010,0.0
367911.255166,0.010,0.0
367911.256161,0.010,0.0
367911.257165,0.010,0.0
367911.258213,0.010,0.0
367911.259212,0.010,0.0
367911.260161,0.010,0.0
367911.261211,0.010,0.0
367911.262212,0.010,0.0
367911.263165,0.010,0.0
367911.264162,0.010,0.0
367911.265211,0.010,0.0
367911.266165,0.010,0.0
367911.267212,0.010,0.0
367911.268161,0.010,0.0
367911.269212,0.010,0.0
367911.270212,0.010,0.0
367911.271212,0.010,0.0
367911.272163,0.010,0.0
367911.273213,0.010,0.0
367911.274164,0.010,0.0
367911.275213,0.010,0.0
367911.276161,0.010,0.0
367911.277213,0.010,0.0
367911.278165,0.010,0.0
367911.279214,0.010,0.0
367911.280170,0.010,0.0
367911.281213,0.010,0.0
367911.282213,0.010,0.0
367911.283212,0.010,0.0
367911.284161,0.010,0.0
367911.285210,0.010,0.0
